text,Legal(LG),Functional(F),LookandFeel(LF),Privacy(PR),Reliability(RL),Recoverability(RC),Audit(AU),Maintenance(MT),Operational(OP),Security(SC),OtherFunctional(OT),Usability(US),AccessControl(AC),PerformanceandScalability(PS),Availability(AV)
the system shall create a single patient record for each patient,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall associate store and link key identifier information eg system id medical record number with each patient record,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to store more than one identifier for each patient record,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide a field which will identify patients as being exempt from reporting functions,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to merge patient information from two patient records into a single patient record,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to include demographic information in reports,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to maintain and make available historic information for demographic data including prior names addresses phone numbers and email addresses,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to modify demographic information about the patient,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall store demographic information in the patient medical record in separate discrete data fields such that data extraction tools can retrieve these data,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to access demographic information such as name date of birth and gender needed for patient care functions,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall capture and maintain demographic information as discrete data elements as part of the patient record,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
the system shall provide the ability to query for a patient by more than one form of identification,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to capture and maintain as discrete data elements the identity of all providers associated with a specific patient encounter,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to capture and maintain as discrete data elements the principal provider responsible for the care of an individual patient,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to capture maintain and display as discrete data elements all problems or diagnoses associated with a patient,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to maintain the onset date of the problem or diagnosis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to maintain the resolution date of the problem or diagnosis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to record the chronicity chronic acute or selflimiting etc of a problem or diagnosis,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
the system shall provide the ability to record the user id and date of all updates to the problem or diagnosis list,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
the system shall provide the ability to associate orders medications and notes with one or more problems or diagnoses,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
